max_array_rank,array_refs1,stmts,array_refs0,dbl_array_refs0,dbl_array_refs1,dbl_array_refs2,max_loop_depth,array_refs2,max_loop_level,ops,max_mergeable_arrays,lines_of_code,max_fusible_loops,fp_ops,branches,calls,bf2,bf1,bf0,indirect_array_refs2,indirect_array_refs1,indirect_array_refs0,judgment_M,proj,ver,path,sub,lnum,digest,nid,root_file
2,3,10,8,8,3,3,2,3,9,9,4,11,1,8,0,0,3.0000000000000000000,3.0000000000000000000,8.000000000000000000,0,0,0,Kernel,espresso-4.0.3_git,2e70494,flib/lapack_atlas.f,zlasr,10979,MD5_3443fef08aa56958c6ecae388382c721:MD5_75b31b2b2df760421adea52e34536c08,38645,Gamma/phcg.f90
2,4,10,6,6,4,3,1,3,12,6,2,14,0,5,1,7,4.8000001907348632812,6.4000000953674316406,9.600000381469726562,0,0,0,Kernel,exciting_git,08f755c,src/LAPACK/zlauu2.f,zlauu2,167,MD5_cb2cf356a7a8f0d438adcf9fd42a4e0d:MD5_dd22aee74ffb80b20b8c4124bc308716,14044,test/test02/src/test2.f90
2,3,3,3,3,3,3,2,3,3,3,2,5,1,2,0,0,12.0000000000000000000,12.0000000000000000000,12.000000000000000000,0,0,0,Kernel,fmmlib3d_git,af4f0a0,src/helmrouts3d.f,h3dformmp_dp_trunc,3578,MD5_70509429b1401a66659014f765b724fc,1909,examples/hfmm3dtria_driver.f
2,3,10,8,8,3,3,2,3,12,9,4,11,1,8,0,0,3.0000000000000000000,3.0000000000000000000,8.000000000000000000,0,0,0,Kernel,FPLAPW-KP_git,cf8b8da,src/LAPACK/dlasr.f,dlasr,247,MD5_6273d8e3e0e76781c8edd647f6e349d1:MD5_73c5c84cda0760991053cf4ee35c3406,17315,src/mainxml/main.f90
2,2,150,39,39,2,2,2,2,1,70,6,214,1,110,31,7,0.1454545408487319946,0.1454545408487319946,2.836363554000854492,0,0,0,Kernel,fvs_git,d14aa37,nc/src/cratet.f,cratet,260,MD5_e34e144139c091f263d3142e3f87f7fc,42988,base/src/main.f
3,24,25,27,27,24,24,3,24,0,7,8,65,1,32,1,16,6.0000000000000000000,6.0000000000000000000,6.750000000000000000,0,0,0,Kernel,GAMIL_git,cdaa2d9,models/atm/gamil/src/dynamics/sld/spetru.F90,spetru,954,MD5_f52f0f93ec2246287dda037672e4cc50,3758,models/atm/gamil/src/control/gamil.F90
2,5,3,9,9,5,5,1,5,3,8,3,3,0,6,0,0,6.6666665077209472656,6.6666665077209472656,12.000000000000000000,0,0,0,Kernel,GISS_climate_model_git,3b41985,model/FFT288.f,ffti,370,MD5_e2e999aba973e25c27e92d878d71fe65,2397,aux/r2cfft.f
3,2,37,20,20,2,2,2,2,0,20,7,74,1,4,8,15,4.0000000000000000000,4.0000000000000000000,40.000000000000000000,0,0,0,Kernel,GITM_git,233d5c7,share/Library/src/ModLinearSolver.f90,prehepta,1192,MD5_eadb446800901609362d8ac4275224b5,1860,share/Library/test/test_linear_solver.f90
2,5,8,9,9,5,5,3,5,8,22,2,16,1,20,0,0,2.0000000000000000000,2.0000000000000000000,3.599999904632568359,0,0,0,Kernel,gops_git,3de1c58,G/AT.f,axt,59,MD5_62e62d2b2d6af70a6e6696ab20c718ed,28723,O/main.f90
3,3,5,18,18,3,3,1,3,9,21,4,6,0,15,0,0,1.6000000238418579102,1.6000000238418579102,9.600000381469726562,0,0,0,Kernel,gops_git,3de1c58,a/g.CSMinit.f90,csmd6,4781,MD5_deb7f7dffe3252e01ff535fc96c1e7d0:MD5_f9e2225b4973d9c0471d1a22198bccdd,34718,O/main.f90
3,3,5,18,18,3,3,1,3,9,20,4,6,0,15,0,0,1.6000000238418579102,1.6000000238418579102,9.600000381469726562,0,0,0,Kernel,gops_git,3de1c58,GMIN/CSMinit.f90,csmc4,2991,MD5_6acb9f26b99678493ca29dcecd78a27c:MD5_b40a3c8fb03255218b5bdc63f63be5ed,34898,O/main.f90
2,2,10,4,4,2,2,3,2,6,14,2,15,2,35,0,3,0.4571428596973419189,0.4571428596973419189,0.914285719394683838,0,0,0,Kernel,gops_git,3de1c58,a/g.vgw.f90,gaussenergypb,1018,MD5_900989600cb3610606c43fc645817434,51478,O/main.f90
1,12,82,17,17,12,12,4,12,0,32,1,114,1,10,10,29,9.6000003814697265625,9.6000003814697265625,13.600000381469726562,0,0,0,Kernel,Grendel_git,7e39a8d,src/intder/intder.f,machy,5939,MD5_dabf5777f2ebf8b551f189344f7a9a1b,606,src/intder/intder.f
1,21,24,39,39,21,21,2,21,1,66,2,48,2,47,0,0,3.5744681358337402344,3.5744681358337402344,6.638298034667968750,0,0,0,Kernel,Hybrid-code-fortran-90_git,65eb928,gutsp.f90,get_vplus_vminus,239,MD5_1a04d3a3ecf74a40a08a67170716223b,132,maind.f90
3,9,43,19,19,9,9,3,9,4,39,4,68,2,24,3,3,3.0000000000000000000,3.0000000000000000000,6.333333492279052734,0,0,0,NonKernel,HZG_MatrixElement_git,a315942,HiggsZGAnalyzer/hzgammaME/MCFM-6.6/QCDLoop/ff/ffdcxs.f,ffdcxs,165,MD5_99d3a0891d3bee7920fda6576bcb86c8,4900,HiggsZGAnalyzer/hzgammaME/MCFM-6.6/QCDLoop/ff/npointes.f
1,4,31,15,15,4,4,2,4,5,13,2,50,2,6,6,4,5.3333334922790527344,5.3333334922790527344,20.000000000000000000,3,3,6,Kernel,iqist_git,35ea908,src/ctqmc/azalea/ctqmc_flavor.f90,ctqmc_make_overlap,1810,MD5_e782ef74286855c4f77c8e7e720ba531,3347,src/ctqmc/narcissus/ctqmc_main.f90
2,5,5,5,5,5,5,3,5,0,2,3,8,1,3,0,1,13.3333330154418945312,13.3333330154418945312,13.333333015441894531,0,0,0,Kernel,jburkardt-f77_git,f217575,linpack_z/linpack_z_prb.f,test345,3785,MD5_cef1ad030b7e2df46333b1c7e85a6b9a,34379,linpack_z/linpack_z_prb.f
2,7,3,8,8,7,7,1,7,1,2,1,3,0,2,0,0,28.0000000000000000000,28.0000000000000000000,32.000000000000000000,0,0,0,Kernel,jburkardt-f_git,2a3860f,slatec/slatec.f90,dsteps,150705,MD5_dd939678307829b705babd9672a0e3a7,87348,slatec/slatec_prb.f90
3,4,4,4,4,4,4,3,4,3,2,4,8,1,2,0,0,16.0000000000000000000,16.0000000000000000000,16.000000000000000000,0,0,0,Kernel,jules-ppsrc-valpm_git,30e6a33,atmosphere/convection/update_conv_diags.f90,update_conv_diags,616,MD5_662f2bd1f4f6ec4029124197747a14e0:MD5_d132d1ef86fc56126950aeebc68999bd,34440,control/top_level/scm_shell.f90
2,3,6,4,4,3,3,2,3,2,2,4,10,1,1,1,0,24.0000000000000000000,24.0000000000000000000,32.000000000000000000,0,0,1,NonKernel,jules-ppsrc-valpm_git,30e6a33,utility/fieldcalc/cld_turb.f90,cld_turb,191,MD5_34f18d895815f1a4b07aa1955f3e0dab,54670,utility/fieldcalc/fieldcalc.f90
2,18,9,18,18,18,18,1,18,10,23,1,10,0,23,0,0,6.2608695030212402344,6.2608695030212402344,6.260869503021240234,0,0,0,Kernel,lapack_git,c697c62,SRC/slarfx.f,slarfx,537,MD5_7330ba122823d75c4233d0e6564c2a36,1206,TESTING/EIG/schkee.f
2,1,6,3,3,1,1,2,1,6,1,2,6,1,1,0,1,8.0000000000000000000,8.0000000000000000000,24.000000000000000000,0,0,0,Kernel,lapack_git,c697c62,SRC/zlalsd.f,zlalsd,391,MD5_cfabd6f41095f95f4356178b271a49e8,156493,TESTING/LIN/zchkaa.f
2,6,15,24,24,6,6,1,6,1,5,3,44,0,3,0,2,16.0000000000000000000,16.0000000000000000000,64.000000000000000000,0,0,0,Kernel,MCF_git,7fb9b4e,mcf/src/particles_collect_colloid_interaction.F90,particles_collect_colloid_interaction,93,MD5_597727cd9a0c8c79f46c4ad89d892655,2390,mcf/src/mcf.F90
2,3,59,30,30,3,3,7,3,1,50,2,290,1,15,3,4,1.6000000238418579102,1.6000000238418579102,16.000000000000000000,0,0,0,Kernel,MCF_git,7fb9b4e,mcf/src/particles_compute_density.F90,particles_compute_density,578,MD5_96234d7e00f667d5946c5ed5aedd00f6,2820,mcf/src/mcf.F90
2,5,4,11,11,5,5,1,5,2,18,2,5,0,7,0,0,5.7142858505249023438,5.7142858505249023438,12.571428298950195312,0,0,0,NonKernel,MHD-Research_git,8cbda42,spherical/ftw_fulldiv_wmpio.f90,wptmatset,1499,MD5_3a42c3ba8c6b65ce833533f9e467bc1f,2723,spherical/ftw_fulldiv_wmpio.f90
2,2,10,4,4,2,2,1,2,4,9,2,23,0,1,1,5,16.0000000000000000000,16.0000000000000000000,32.000000000000000000,0,0,0,Kernel,NEKCEM_git,1e1977e,libs/netlib/lapack.f,spotrf,262097,MD5_29b86cb82366ff82457af4424598a310:MD5_cc1cbb20fd4ad1f51c96a2472ff63fb1,8197,src/drive.F
3,1,9,6,6,1,1,4,1,0,3,2,9,1,2,1,0,4.0000000000000000000,4.0000000000000000000,24.000000000000000000,0,0,0,Kernel,NOAA-GFDL-MOM6_git,143f313,src/tracer/tracer_example.F90,tracer_column_physics,476,MD5_ad3d82df2534c096122747340fe0a6c9:MD5_b9a04ab3e6102e00289704da8099fc4d,3323,config_src/solo_driver/MOM_driver.F90
